"idtipo_operacion_sunat";"descripcion";"estado_mrcb"
"0101";"VENTA INTERNA";"1"
"0102";"VENTA INTERNA - ANTICIPOS";"1"
"0103";"VENTA INTERNA - ITINERANTE";"1"
"0110";"VENTA INTERNA - SUSTENTA TRASLADO DE MERCADERÍA - REMITENTE";"1"
"0111";"VENTA INTERNA - SUSTENTA TRASLADO DE MERCADERÍA - TRANSPORTISTA";"1"
"0112";"VENTA INTERNA - SUSTENTA GASTOS DEDUCIBLES PERSONA NATURAL";"1"
"0120";"VENTA INTERNA - SUJETA AL IVAP";"1"
"0121";"VENTA INTERNA - SUJETA AL FISE";"1"
"0122";"VENTA INTERNA - SUJETA A OTROS IMPUESTOS";"1"
"0130";"VENTA INTERNA - REALIZADAS AL ESTADO";"1"
"0200";"EXPORTACIÓN DE BIENES";"1"
"0201";"EXPORTACIÓN DE SERVICIOS - PRESTACIÓN SERVICIOS REALIZADOS ÍNTEGRAMENTE EN EL PAÍS";"1"
"0202";"EXPORTACIÓN DE SERVICIOS - PRESTACIÓN DE SERVICIOS DE HOSPEDAJE NO DOMICILIADO";"1"
"0203";"EXPORTACIÓN DE SERVICIOS - TRANSPORTE DE NAVIERAS";"1"
"0204";"EXPORTACIÓN DE SERVICIOS - SERVICIOS A NAVES Y AERONAVES DE BANDERA EXTRANJERA";"1"
"0205";"EXPORTACIÓN DE SERVICIOS - SERVICIOS QUE CONFORMEN UN PAQUETE TURÍSTICO";"1"
"0206";"EXPORTACIÓN DE SERVICIOS - SERVICIOS COMPLEMENTARIOS AL TRANSPORTE DE CARGA";"1"
"0207";"EXPORTACIÓN DE SERVICIOS - SUMINISTRO DE ENERGÍA ELÉCTRICA A FAVOR DE SUJETOS DOMICILIADOS EN ZED";"1"
"0208";"EXPORTACIÓN DE SERVICIOS - PRESTACIÓN SERVICIOS REALIZADOS PARCIALMENTE EN EL EXTRANJERO ";"1"
"0301";"OPERACIONES CON CARTA DE PORTE AÉREO (EMITIDAS EN EL ÁMBITO NACIONAL)";"1"
"0302";"OPERACIONES DE TRANSPORTE FERROVIARIO DE PASAJEROS";"1"
"0303";"OPERACIONES DE PAGO DE REGALÍA PETROLERA";"1"
"1001";"OPERACIÓN SUJETA A DETRACCIÓN";"1"
"1002";"OPERACIÓN SUJETA A DETRACCIÓN - RECURSOS HIDROBIOLÓGICOS";"1"
